contig,bplen,gc_content,coding_density,checkv_quality,checkv_completeness,checkv_contamination,description,taxonomy
BK013878.1,3969,54.82,46.64,High-quality,99.83,0.0,unknown,Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
CY040399.1,2319,39.03,97.28,Low-quality,16.92,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Insthoviricetes;Articulavirales;Orthomyxoviridae
CY040400.1,2360,38.35,98.26,Low-quality,16.25,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Insthoviricetes;Articulavirales;Orthomyxoviridae
CY040398.1,2255,38.27,96.59,Low-quality,15.53,0.0,unknown,unknown
CY040393.1,1812,43.16,96.85,Low-quality,12.48,0.0,unknown,unknown
CY040396.1,1769,42.85,96.5,Low-quality,12.18,0.0,unknown,unknown
CY040395.1,1481,42.54,94.4,Low-quality,10.2,0.0,unknown,unknown
CY040394.1,1105,39.37,19.82,Low-quality,7.61,0.0,unknown,unknown
CY040397.1,1041,40.83,82.42,Low-quality,7.17,0.0,unknown,unknown
AM493895.2,8855,45.44,3.49,High-quality,99.85,0.0,"Chrysanthemum virus B complete genome, genomic RNA, isolate Punjab INDIA",Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae
HQ392377.1,3269,30.65,99.85,Low-quality,18.15,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392386.1,2697,31.33,99.44,Low-quality,15.2,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392385.1,2525,29.03,99.21,Low-quality,13.98,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392384.1,2335,31.48,99.57,Low-quality,12.85,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392379.1,1519,30.02,95.98,Low-quality,8.9,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392383.1,1320,35.45,90.45,Low-quality,7.64,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392387.1,1015,31.13,93.1,Low-quality,5.95,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392378.1,1023,33.43,95.31,Low-quality,6.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
HQ392381.1,1011,31.75,96.74,Low-quality,5.93,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
OM030300.1,3308,49.33,30.93,High-quality,100.0,0.0,unknown,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae
KX907129.1,5818,59.66,4.18,High-quality,99.57,0.0,unknown,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Hepelivirales;Hepeviridae
MW645030.1,6363,49.08,99.95,Medium-quality,57.47,0.0,unknown,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Jingchuvirales;Chuviridae
MW645031.1,1566,55.24,99.81,Low-quality,13.13,0.0,unknown,unknown
MW645032.1,1956,50.36,99.85,Low-quality,14.7,0.0,unknown,unknown
KM817630.1,13169,50.7,49.96,High-quality,100.0,0.0,"Huangpi Tick Virus 3 strain H124-2 nucleocapsid (N), putative phosphoprotein (ORF2), putative matrix protein (ORF3), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
FJ422131.1,3302,34.46,98.85,Low-quality,18.32,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ422132.1,2687,35.58,98.81,Low-quality,15.11,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ422133.1,2591,32.34,98.53,Low-quality,14.32,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ422134.1,2362,36.66,98.94,Low-quality,13.0,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ422135.1,1578,33.14,93.35,Low-quality,9.18,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ422136.1,1356,38.86,89.38,Low-quality,7.84,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ422137.1,1074,33.52,89.66,Low-quality,6.29,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ422139.1,1059,35.22,94.05,Low-quality,6.2,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
FJ422138.1,1062,34.75,83.9,Low-quality,6.22,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC227934.1,3293,32.49,99.39,Low-quality,18.27,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
LC227945.1,2677,32.72,98.84,Low-quality,15.05,0.0,unknown,Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales;Sedoreoviridae
