contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
AB083060.1	2928	No	NA	2	1	0	Medium-quality	Genome-fragment	72.77	AAI-based (high-confidence)	0.0	1.0	
AB083061.1	1981	No	NA	1	1	0	Low-quality	Genome-fragment	34.72	AAI-based (high-confidence)	0.0	1.0	
M14880.1	2368	No	NA	1	1	0	Low-quality	Genome-fragment	17.28	AAI-based (high-confidence)	0.0	1.0	
AF101982.1	2313	No	NA	1	1	0	Low-quality	Genome-fragment	15.93	AAI-based (high-confidence)	0.0	1.0	
AF102017.1	2204	No	NA	1	1	0	Low-quality	Genome-fragment	15.18	AAI-based (high-confidence)	0.0	1.0	
K00423.1	1882	No	NA	1	1	0	Low-quality	Genome-fragment	12.96	AAI-based (high-confidence)	0.0	1.0	
K01395.1	1841	No	NA	1	1	0	Low-quality	Genome-fragment	12.68	AAI-based (high-confidence)	0.0	1.0	
J02095.1	1557	No	NA	1	1	0	Low-quality	Genome-fragment	10.72	AAI-based (high-confidence)	0.0	1.0	
J02094.1	1191	No	NA	2	1	0	Low-quality	Genome-fragment	8.2	AAI-based (high-confidence)	0.0	1.0	
J02096.1	1096	No	NA	2	0	0	Low-quality	Genome-fragment	7.55	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF316992.1	1787	No	NA	1	1	0	Medium-quality	Genome-fragment	50.32	AAI-based (high-confidence)	0.0	1.0	
AF316993.1	1585	No	NA	1	0	0	Low-quality	Genome-fragment	44.8	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF404509.2	8303	No	NA	8	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF190123.1	7767	No	NA	8	3	0	High-quality	High-quality	99.25	AAI-based (high-confidence)	0.0	1.0	
L39125.1	2180	No	NA	1	1	0	Low-quality	Genome-fragment	46.76	AAI-based (high-confidence)	0.0	1.0	
L39126.1	2135	No	NA	1	1	0	Low-quality	Genome-fragment	46.86	AAI-based (medium-confidence)	0.0	1.0	
K02715.1	3311	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF347695.1	7559	No	NA	3	3	0	High-quality	High-quality	93.29	HMM-based (lower-bound)	0.0	1.0	
U59751.1	8159	No	NA	4	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AJ277091.1	7687	No	NA	3	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
U95208.2	7206	No	NA	2	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
AF291683.1	4361	No	NA	3	1	0	Low-quality	Genome-fragment	17.29	AAI-based (high-confidence)	0.0	1.0	
AF291684.1	4187	No	NA	1	1	0	Low-quality	Genome-fragment	16.6	AAI-based (high-confidence)	0.0	1.0	
AF291685.1	3878	No	NA	1	0	0	Low-quality	Genome-fragment	15.44	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF291686.3	3311	No	NA	1	1	0	Low-quality	Genome-fragment	13.13	AAI-based (high-confidence)	0.0	1.0	
AF291687.1	2260	No	NA	1	0	0	Low-quality	Genome-fragment	8.96	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF291688.1	1859	No	NA	2	0	0	Low-quality	Genome-fragment	7.37	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF291689.1	1776	No	NA	1	1	0	Low-quality	Genome-fragment	7.04	AAI-based (high-confidence)	0.0	1.0	
AF291690.1	1234	No	NA	1	0	0	Low-quality	Genome-fragment	4.89	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
AF291691.1	1157	No	NA	1	0	0	Low-quality	Genome-fragment	4.59	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
